num_negatives,seed,HR@10,NDCG@10,elapsed_sec
9,0,0.6489925980567932,0.41686138472615236,228.92562317848206
9,1,0.6426299214363098,0.3936173541741572,228.1854476928711
9,2,0.6500530242919922,0.4020203014342442,227.02002239227295
9,3,0.6521739363670349,0.40345894046896313,227.77925181388855
9,4,0.6447507739067078,0.40698212544100176,228.4105372428894
9,5,0.6426299214363098,0.3898055737563445,227.89031767845154
9,6,0.6733828186988831,0.4157732846443263,227.69480061531067
9,7,0.6171792149543762,0.3863212403938236,229.04980969429016
9,8,0.6489925980567932,0.40556997829695346,227.42637276649475
9,9,0.629904568195343,0.39490628148698637,229.96707606315613
10,0,0.6521739363670349,0.4190365638014456,252.17805337905884
10,1,0.6362672448158264,0.3978235303005928,251.14409732818604
10,2,0.6564157009124756,0.41211354101281406,249.55392837524414
10,3,0.6574761271476746,0.4164055422035689,251.85910892486572
10,4,0.6415694355964661,0.39425819662843176,249.2805097103119
10,5,0.6489925980567932,0.4024448568798403,248.05109763145447
10,6,0.6436903476715088,0.4050068943731855,251.25007128715515
10,7,0.6553552746772766,0.41226894422385535,250.2811300754547
10,8,0.6564157009124756,0.4069574397874593,247.65068745613098
10,9,0.6564157009124756,0.40595966911165365,248.10270810127258
